"gamble"	"g1p1"	"g1o1"	"g1p2"	"g1o2"	"g1p3"	"g1o3"	"g1p4"	"g1o4"	"g1p5"	"g1o5"	"g2p1"	"g2o1"	"g2p2"	"g2o2"	"g2p3"	"g2o3"	"g2p4"	"g2o4"	"g2p5"	"g2o5"	"type"
30	0.2	5	0.4	0	0.2	-5	0.2	-6	0	0	0.2	2	0.4	0	0.2	-2	0.2	-6	0	0	"STR"
31	0.4	15	0.4	0	0.2	-15	0	0	0	0	0.2	15	0.2	10	0.4	0	0.2	-10	0	0	"STR"
32	0.2	12	0.2	10	0.4	0	0.2	-10	0	0	0.2	12	0.2	5	0.4	0	0.2	-5	0	0	"STR"
33	0.2	6	0.2	5	0.4	0	0.2	-5	0	0	0.2	6	0.2	2	0.4	0	0.2	-2	0	0	"STR"
34	0.2	15	0.2	0	0.6	-15	0	0	0	0	0.2	10	0.2	0	0.2	-10	0.4	-15	0	0	"STR"
35	0.2	10	0.2	0	0.2	-10	0.4	-12	0	0	0.2	5	0.2	0	0.2	-5	0.4	-12	0	0	"STR"
36	0.2	5	0.2	0	0.2	-5	0.4	-6	0	0	0.2	2	0.2	0	0.2	-2	0.4	-6	0	0	"STR"
37	0.6	15	0.2	0	0.2	-15	0	0	0	0	0.4	15	0.2	10	0.2	0	0.2	-10	0	0	"STR"
38	0.4	12	0.2	10	0.2	0	0.2	-10	0	0	0.4	12	0.2	5	0.2	0	0.2	-5	0	0	"STR"
39	0.4	6	0.2	5	0.2	0	0.2	-5	0	0	0.4	6	0.2	2	0.2	0	0.2	-2	0	0	"STR"
40	0.2	15	0.2	0	0.4	-12	0.2	-15	0	0	0.2	10	0.2	0	0.2	-10	0.4	-12	0	0	"GER"
41	0.2	10	0.2	0	0.4	-8	0.2	-10	0	0	0.2	5	0.2	0	0.2	-5	0.4	-8	0	0	"GER"
